n,L1_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,46583650,0.026313,0.021935,0.014515
162377,69918202,0.026941,0.021935,0.014780
263665,89174562,0.034636,0.027895,0.023004
428133,237887648,0.040640,0.036955,0.013114
695192,235578321,0.054880,0.052929,0.006983
1128837,384129878,0.084183,0.082016,0.005604
1832980,1307338665,0.095909,0.093937,0.007373
2976351,1876795909,0.091141,0.088930,0.006877
4832930,1663141352,0.117475,0.108004,0.030404
7847599,-1517896380,0.140927,0.138998,0.007384
12742749,979263583,0.206210,0.204086,0.007232
20691380,-478420690,0.323122,0.313997,0.031477
33598182,-39394196,0.500484,0.491142,0.031734
54555947,1049570121,0.790986,0.781059,0.032487
88586679,1831601061,1.272202,1.263142,0.031905
143844988,1825378787,2.133434,2.122879,0.036268
233572146,593076038,3.674074,3.664970,0.034606
379269019,-1015742344,6.423712,6.420135,0.033663
615848211,-867414553,11.145353,11.143923,0.048696
1000000000,529987752328,18.791264,18.763065,0.054278
