n,L2_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,179946.296875,0.450980,0.450134,0.001646
162377,213994.062500,0.735976,0.735998,0.004584
263665,217530.593750,1.192635,1.191139,0.005643
428133,430875.187500,1.946536,1.941919,0.013931
695192,353695.406250,3.165332,3.162861,0.010087
1128837,452362.468750,5.129988,5.131960,0.010326
1832980,1098733.250000,8.321632,8.319855,0.006457
2976351,1263392.125000,13.515667,13.517141,0.011426
4832930,947668.500000,21.924712,21.922827,0.013604
7847599,1233749.000000,35.606731,35.600901,0.023335
12742749,1817706.875000,57.823810,57.817221,0.038552
20691380,2211029.000000,94.176813,94.161987,0.110955
33598182,4291760.000000,152.313709,152.284861,0.108621
54555947,3077299.000000,247.427030,247.402191,0.064698
88586679,4764464.000000,401.673425,401.668072,0.167867
143844988,11907124.000000,652.650443,652.621031,0.147363
233572146,8008235.500000,1059.561383,1059.587002,0.132769
379269019,9012922.000000,1717.775800,1717.798948,0.094235
615848211,14469939.000000,2793.714350,2793.726921,0.317840
1000000000,20058580.000000,4549.275745,4532.995939,51.119236
