n,L2_norm,mean-time(ms),median-time(ms),std-deviation(ms)
100000,179946.296875,0.019182,0.017166,0.006647
162377,213994.062500,0.024102,0.020027,0.013607
263665,217530.593750,0.030257,0.024080,0.020185
428133,430875.187500,0.040618,0.030994,0.029951
695192,353695.406250,0.057892,0.056028,0.006373
1128837,452362.468750,0.088172,0.086069,0.005888
1832980,1098733.250000,0.100071,0.097990,0.005968
2976351,1263392.125000,0.094891,0.092983,0.006676
4832930,947668.500000,0.111168,0.108957,0.006604
7847599,1233749.000000,0.143376,0.140905,0.007911
12742749,1817706.875000,0.206536,0.196934,0.030999
20691380,2211029.000000,0.314431,0.304937,0.032048
33598182,4291760.000000,0.487002,0.478029,0.031192
54555947,3077299.000000,0.773105,0.763893,0.031197
88586679,4764464.000000,1.239278,1.230001,0.031137
143844988,11907124.000000,1.990795,1.981974,0.030935
233572146,8008235.500000,3.276370,3.247023,0.077457
379269019,9012922.000000,5.200169,5.192995,0.024326
615848211,14469939.000000,8.424520,8.417845,0.023796
1000000000,20058580.000000,13.687957,13.681173,0.025479
