n,gridStride_time,warpStride_time,blockStride_time,hostCompute_time,warpStride_speedup_over_gridStride,blockStride_speedup_over_gridStride,gridStride_speedup_over_hostCompute
100000,0.02408,0.019182,0.019312,0.45098,1.2553435512459596,1.246893123446562,18.728405315614616
162377,0.029282,0.024102,0.0233,0.735976,1.2149199236577877,1.2567381974248926,25.134075541288162
263665,0.03728,0.030257,0.030539,1.192635,1.2321115774862017,1.2207341432266938,31.991282188841197
428133,0.043717,0.040618,0.034202,1.946536,1.076296223349254,1.2782001052570025,44.52583663105886
695192,0.058781,0.057892,0.057741,3.165332,1.0153561804739861,1.018011464990215,53.84957724434766
1128837,0.088518,0.088172,0.088258,5.129988,1.003924148255682,1.0029459085861905,57.95417881108927
1832980,0.100266,0.100071,0.10731,8.321632,1.0019486164822975,0.9343584008946043,82.99555183212654
2976351,0.095367,0.094891,0.094739,13.515667,1.0050162818391628,1.00662873790097,141.7226818501159
4832930,0.114289,0.111168,0.111753,21.924712,1.0280746257915947,1.0226929030987981,191.8357147232017
7847599,0.151526,0.143376,0.142964,35.606731,1.0568435442472937,1.0598892028762485,234.9875994878767
12742749,0.211412,0.206536,0.206015,57.82381,1.023608475035829,1.0261971215688177,273.5124307040282
20691380,0.327457,0.314431,0.306693,94.176813,1.0414272129656426,1.0677028820351295,287.6005490797265
33598182,0.504017,0.487002,0.486872,152.313709,1.0349382548736967,1.0352145943903122,302.19954684068193
54555947,0.794736,0.773105,0.774232,247.42703,1.027979381843346,1.0264830180101054,311.3323543918987
88586679,1.279983,1.239278,1.238931,401.673425,1.0328457375988276,1.033135017204348,313.8115310906473
143844988,2.147653,1.990795,1.992074,652.650443,1.078791638516271,1.0780990063622136,303.89008047389405
233572146,3.74263,3.27637,3.210068,1059.561383,1.1423099344701606,1.1659036506391764,283.1060999885107
379269019,6.465782,5.200169,5.217791,1717.7758,1.2433792055604347,1.2391799518225242,265.6717779844727
615848211,11.197784,8.42452,8.641113,2793.71435,1.3291895562002347,1.2958728811901892,249.4881442614003
1000000000,18.839446,13.687957,14.615449,4549.275745,1.3763519274644125,1.2890090478917204,241.4760893181254
